tienda,fecha_compra,precio,id_ticket
Mercadona,2026-01-01,45.20,TKT-1001
Amazon,2026-01-02,120.50,TKT-1002
Zara,2026-01-04,59.95,TKT-1003
Gasolinera Repsol,2026-01-05,72.00,TKT-1004
Carrefour,2026-01-07,88.30,TKT-1005
Netflix,2026-01-08,17.99,TKT-1006
Restaurante El Pescador,2026-01-10,42.50,TKT-1007
Apple Store,2026-01-11,899.00,TKT-1008
Mercadona,2026-01-12,32.15,TKT-1009
Decathlon,2026-01-14,24.99,TKT-1010
Farmacia Central,2026-01-15,12.40,TKT-1011
IKEA,2026-01-17,145.00,TKT-1012
Starbucks,2026-01-18,6.50,TKT-1013
MediaMarkt,2026-01-20,299.00,TKT-1014
Mercadona,2026-01-21,55.60,TKT-1015
H&M,2026-01-22,34.95,TKT-1016
Gasolinera Repsol,2026-01-24,68.00,TKT-1017
Carrefour,2026-01-25,110.20,TKT-1018
Amazon,2026-01-27,45.00,TKT-1019
Burger King,2026-01-28,14.50,TKT-1020
Mercadona,2026-01-30,22.80,TKT-1021
Cines Yelmo,2026-01-31,18.00,TKT-1022
