id_ticket,purchase_date,store,category,garment,garment_size,price,channel,latitude,longitude
TKT-MODA-001,2026-02-08 10:15:20,Zara,Footwear,Leather Ankle Boots,38,79.95,Instore,40.4168,-3.7038
TKT-MODA-002,2026-02-08 10:18:45,H&M,Accessories,Shopper Bag,S,34.99,Online,41.3851,2.1734
TKT-MODA-003,2026-02-08 10:25:12,Massimo Dutti,Tailoring,Wool Blazer,52,129.00,Instore,39.4699,-0.3763
TKT-MODA-004,2026-02-08 10:30:05,Mango,Denim,Mom Fit Jeans,40,29.99,Online,37.3891,-5.9845
TKT-MODA-005,2026-02-08 10:45:30,Pull&Bear,Outerwear,Denim Jacket,M,39.99,Instore,43.3623,-8.4115
TKT-MODA-006,2026-02-08 11:02:15,Zara,Dresses,Floral Midi Dress,L,49.95,Online,40.4520,-3.6880
TKT-MODA-007,2026-02-08 11:10:40,Stradivarius,Knitwear,Oversized Sweater,S,25.99,Instore,36.7213,-4.4214
TKT-MODA-008,2026-02-08 11:15:22,Bershka,Footwear,Platform Sneakers,37,35.99,Online,40.4190,-3.7050
TKT-MODA-009,2026-02-08 11:20:55,Massimo Dutti,Accessories,Leather Belt,M,49.95,Instore,40.4285,-3.6765
TKT-MODA-010,2026-02-08 11:35:00,Zara,Denim,Wide Leg Jeans,38,29.95,Instore,41.3800,2.1500
TKT-MODA-011,2026-02-08 11:42:12,H&M,Basics,T-shirt Pack,L,14.99,Online,39.4700,-0.3750
TKT-MODA-012,2026-02-08 11:50:30,Mango,Outerwear,Wool Coat,M,119.00,Instore,40.4200,-3.6900
TKT-MODA-013,2026-02-08 12:05:45,Pull&Bear,Accessories,Sunglasses,U,15.99,Online,37.3800,-5.9900
TKT-MODA-014,2026-02-08 12:15:10,Zara,Footwear,Leather Loafers,42,69.95,Instore,40.4600,-3.6500
TKT-MODA-015,2026-02-08 12:22:33,Stradivarius,Denim,Denim Skirt,36,22.99,Online,43.3600,-8.4100
TKT-MODA-016,2026-02-08 12:30:00,Bershka,Knitwear,Soft Cardigan,M,29.99,Instore,36.7200,-4.4200
TKT-MODA-017,2026-02-08 12:45:15,Massimo Dutti,Tailoring,Suit Trousers,48,69.95,Online,40.4167,-3.7033
TKT-MODA-018,2026-02-08 12:55:50,Zara,Basics,Knit Top,S,19.95,Instore,41.3900,2.1600
TKT-MODA-019,2026-02-08 13:05:22,H&M,Footwear,Heeled Sandals,39,39.99,Online,39.4800,-0.3800
TKT-MODA-020,2026-02-08 13:12:05,Mango,Dresses,Mini Dress,S,35.95,Instore,40.4100,-3.7100
